Model,Accuracy,F1-Score,Precision,Recall
Logistic Regression,0.7472677595628415,0.7559122142011862,0.7743209826831638,0.7472677595628415
Random Forest,0.7448770491803278,0.7500267980284321,0.7583890278434166,0.7448770491803278
Support Vector Machine,0.7715163934426229,0.7753597381889122,0.782345722169169,0.7715163934426229
